sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
ID03,html.Screen,8,2026-06-03T07:09:08.634Z,22542.400000000023,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",563510.3999999999,563510,540950.9,540958.5,540967.6,563512.9
ID03,html.Screen,9,2026-06-03T07:09:52.085Z,43447.20000000007,response,images/claude_3.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",606960.6000000001,606960.1000000001,563512.226,563510.7,563512.9,606981.2
ID03,html.Screen,10,2026-06-03T07:10:10.493Z,18388,response,images/chatgpt_1.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",625369.5,625369.2,606964.5,606960.8999999999,606981.2,625378.7
ID03,html.Screen,11,2026-06-03T07:10:34.350Z,23847.600000000093,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""3""}",649226.5,649226.3,625361.9,625369.6000000001,625378.7,649245.3
ID03,html.Screen,12,2026-06-03T07:10:51.895Z,17525.300000000047,response,images/edad_x_1.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""4""}",666770.9000000001,666770.6000000001,649228.5,649226.7,649245.3,666773.1
ID03,html.Screen,13,2026-06-03T07:11:20.896Z,28998.599999999977,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",695772,695771.7,666772.594,666771,666773.1,695790.9
ID03,html.Screen,14,2026-06-03T07:11:47.449Z,26533.599999999977,response,images/riesgos_x_2.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",722324.7,722324.5,695774.2,695772.2,695790.9,722333.5
ID03,html.Screen,15,2026-06-03T07:12:01.609Z,14151.600000000093,response,images/claude_2.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",736485.4000000001,736485.1000000001,722316.7,722325,722333.5,736549.7
ID03,html.Screen,16,2026-06-03T07:12:18.658Z,16984.100000000093,response,images/derechos_x_2.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",753534.1000000001,753533.8,736499.6,736485.5,736549.7,753559.1
ID03,html.Screen,17,2026-06-03T07:12:42.330Z,23647.099999999977,response,images/edad_x_4.png,"{""credibility"":""2"",""quality"":""1"",""correctness"":""2"",""interest"":""2""}",777206.4000000001,777206.2,753542.3,753534.2,753559.1,777224.9
ID03,html.Screen,18,2026-06-03T07:13:09.500Z,27150.70000000007,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",804375.8,804375.6000000001,777208.2,777206.6000000001,777224.9,804386.3
ID03,html.Screen,19,2026-06-03T07:13:23.804Z,14293.399999999907,response,images/gemini_2.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",818680,818679.7,804369.6,804376.1000000001,804386.3,818686.2
ID03,html.Screen,20,2026-06-03T07:13:43.964Z,20154,response,images/https___kchcomunicacion_com_2026_04_09_comision_impulsa_reformas_para_proteger_a_ninas_ninos_y_adolescentes_frente_a_riesgos_de_plataformas_digitales_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",838840.4000000001,838840.2,818669.5,818680.1000000001,818686.2,
ID04,html.Screen,0,2026-06-03T07:03:51.164Z,163196.8,response,images/edad_x_3.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",163582.10000000003,163581,370.964,376.20000000001164,384.2,163588.994
ID04,html.Screen,1,2026-06-03T07:05:21.259Z,90087.40600000002,response,images/chatgpt_2.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",253677,253676.40000000002,163588.994,163583.7,163588.994,253683.056
ID04,html.Screen,2,2026-06-03T07:06:24.803Z,63537.14400000006,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""2"",""interest"":""3""}",317220.70000000007,317220.20000000007,253683.056,253677.80000000005,253683.056,317230.8
ID04,html.Screen,3,2026-06-03T07:07:06.003Z,41189.79999999999,response,images/claude_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""5""}",358421.1,358420.6,317224.188,317221.1,317230.8,358427.7
ID04,html.Screen,4,2026-06-03T07:07:33.203Z,27192.899999999965,response,images/gemini_3.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""5"",""interest"":""5""}",385621.1,385620.6,358417.85,358421.5,358427.7,385630.1
ID04,html.Screen,5,2026-06-03T07:07:52.675Z,19462.400000000023,response,images/riesgos_x_5.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""3"",""interest"":""5""}",405092.80000000005,405092.5,385623.496,385621.5,385630.1,405102.3
ID04,html.Screen,6,2026-06-03T07:08:24.139Z,31454.50000000006,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",436557.4,436556.80000000005,405089,405093.1,405102.3,436569.7
ID04,html.Screen,7,2026-06-03T07:08:54.580Z,30427.399999999965,response,images/edad_x_5.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",466997.70000000007,466997.1,436556.4,436557.70000000007,436569.7,466997.6
ID04,html.Screen,8,2026-06-03T07:09:39.012Z,44431.70000000007,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""5"",""interest"":""5""}",511429.9,511429.30000000005,466997.528,466998.1,466997.6,511433.228
ID04,html.Screen,9,2026-06-03T07:10:04.036Z,25020.271999999997,response,images/claude_3.png,"{""credibility"":""4"",""quality"":""5"",""correctness"":""4"",""interest"":""5""}",536454.2000000001,536453.5,511433.228,511430.30000000005,511433.228,536463.1
ID04,html.Screen,10,2026-06-03T07:10:45.996Z,41950.5,response,images/chatgpt_1.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",578414.1,578413.6,536456.616,536454.5,536463.1,578419.6
ID04,html.Screen,11,2026-06-03T07:11:33.396Z,47394.30000000005,response,images/https___bitlifemedia_com_2026_04_espana_aprobara_en_mayo_una_ley_que_fija_en_16_anos_el_consentimiento_digital_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",625814.3,625813.9,578416.362,578414.5,578419.6,625827.4
ID04,html.Screen,12,2026-06-03T07:11:58.221Z,24810.599999999977,response,images/edad_x_1.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",650638.5,650638,625814,625814.8,625827.4,650644
ID04,html.Screen,13,2026-06-03T07:13:02.197Z,63970.40000000002,response,images/https___noticias_udec_cl_desafio_viral_de_ingerir_imanes_gastroenterologa_udec_advierte_riesgos_y_refuerza_llamado_al_cuidado_familiar_.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",714614.9,714614.4,650637.46,650638.8,650644,714618.5
ID04,html.Screen,14,2026-06-03T07:13:30.501Z,28300.000000000116,response,images/riesgos_x_2.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""5""}",742918.9,742918.5000000001,714608.734,714615.2000000001,714618.5,742927.2
ID04,html.Screen,15,2026-06-03T07:13:49.413Z,18903.400000000023,response,images/claude_2.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",761831.1,761830.6,742923.862,742919.4,742927.2,761839.5
ID04,html.Screen,16,2026-06-03T07:14:04.405Z,14983.29999999993,response,images/derechos_x_2.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",776823.1,776822.7999999999,761826.228,761831.5000000001,761839.5,776833.6
